Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags",type,year,region,Date_new,id,avg_price
2015-10-25,1.36,99554.55,1545.57,36645.91,79.64,61283.43,59381.21,1902.22,0,conventional,2015,BuffaloRochester,2015-10-25,1,1.34
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany,2015-12-27,2,1.63
2015-12-06,0.71,95295.34,35590.98,12526.5,4086.26,43091.6,42734.53,0,357.07,conventional,2015,Boise,2015-12-06,3,1.27
2015-12-27,1.13,450816.39,3886.27,346964.7,13952.56,86012.86,85913.6,99.26,0,conventional,2015,Boston,2015-12-27,122,1.60
2015-12-27,0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta,2015-12-27,160,1.22
2015-10-18,1.26,156565.98,22805.02,54518.85,44707.32,34534.79,31176.68,3358.11,0,conventional,2015,Charlotte,2015-10-18,171,1.51
2015-12-27,0.9,5040365.47,1833946.59,1760956.02,232755.85,1212707.01,1090140.07,110737.35,11829.59,conventional,2015,California,2015-12-27,178,1.30
2015-12-27,0.93,661137.13,42799,445218.79,78378.25,94741.09,83066.75,1617.67,10056.67,conventional,2015,Chicago,2015-12-27,298,1.32
2015-09-20,1.05,210445.12,3127.8,139042.8,21179.76,47094.76,12353.22,29601.09,5140.45,conventional,2015,CincinnatiDayton,2015-09-20,299,1.32
2015-09-06,0.84,1270739.69,626166.71,505568.94,9815.66,129188.38,120588.01,8581.65,18.72,conventional,2015,DallasFtWorth,2015-09-06,347,1.12
2015-12-27,0.99,107565.04,41808.54,27120.67,15564.05,23071.78,15032.43,3874.64,4164.71,conventional,2015,Columbus,2015-12-27,380,1.20
2015-12-27,0.98,625475.1,93034.2,246747.13,19103.69,266590.08,38620.02,227884.21,85.85,conventional,2015,Denver,2015-12-27,436,1.21
2015-08-09,1.07,341289.98,136799.68,56896.42,80145.92,67447.96,54938.34,1471.57,11038.05,conventional,2015,Detroit,2015-08-09,551,1.21
2015-07-19,1.12,3436864.41,449090.82,1843047.36,454643.18,690083.05,535843.25,110898.39,43341.41,conventional,2015,GreatLakes,2015-07-19,579,1.30
2015-12-27,1.13,147713.85,2992.62,101109.84,5754.75,37856.64,30738.09,2919.24,4199.31,conventional,2015,GrandRapids,2015-12-27,641,1.46
2015-12-27,1.16,173645.55,22694.58,98629.2,149.11,52172.66,51396.6,776.06,0,conventional,2015,HarrisburgScranton,2015-12-27,655,1.39
2015-07-26,1.3,266049.58,3579.93,205203.65,2171.08,55094.92,52815.8,2279.12,0,conventional,2015,HartfordSpringfield,2015-07-26,688,1.89
2015-12-27,0.78,944506.54,389773.22,288003.62,126150.81,140578.89,73711.94,36493.62,30373.33,conventional,2015,Houston,2015-12-27,799,0.98
2015-07-12,1.05,161431.59,4181.35,101947.17,7053.06,48250.01,27061.56,20240.11,948.34,conventional,2015,Indianapolis,2015-07-12,837,1.28
2015-06-28,1.01,293408.89,138921.52,86492.67,4334.64,63660.06,52651.46,11008.6,0,conventional,2015,LasVegas,2015-06-28,876,1.33
2015-12-27,0.99,132982.84,91470.46,7688.79,514.7,33308.89,15300.85,18008.04,0,conventional,2015,Jacksonville,2015-12-27,925,1.42
2015-12-27,0.8,2326942.14,976982.58,455203.42,86202.11,808554.03,722787.61,74359.03,11407.39,conventional,2015,LosAngeles,2015-12-27,931,1.20
2015-06-07,1.01,98865.51,8145.6,62401.26,4540.35,23778.3,12423.77,10432.41,922.12,conventional,2015,Louisville,2015-06-07,1052,1.12
